ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7D6|3|0948018|20|59369|9156|999999|14|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836804||0
7D6|4|0948018|20|59369|9156|999999|6|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836805||0
7D6|5|0948018|20|59367|9156|999999|3|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836806||0
7D6|6|0948018|20|59367|9156|999999|5|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836811||0
7D6|7|0948018|20|59367|9156|999999|14|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836812||0
7D6|8|0948018|20|59367|9156|999999|14|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836813||0
7D6|9|0948018|20|59367|9156|999999|11|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836814||0
7D6|10|0948018|20|59367|9156|999999|7|712|152.400000|17.300000|3.86|30.89|22/05/2030 05:30:21|79.91|E1836815||0
7C10|0|0|0|0|0|0|0|0|0|0|0|0|0|0
7F5|1|0946738|20|28969|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836941||0
7F5|2|0946738|20|28969|11145|999999|3|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836942||0
7F5|3|0946738|20|28968|11145|999999|10|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836943||0
7F5|4|0946738|20|28968|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836944||0
7F5|5|0946738|20|28968|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836945||0
7F5|6|0946738|20|28968|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836946||0
7F5|7|0946738|20|28968|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836947||0
7F5|8|0946738|20|28968|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836948||0
7F5|9|0946738|20|28968|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836949||0
7F5|10|0946738|20|28968|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836950||0
7F5|11|0946738|20|28968|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836951||0
7F5|12|0946738|20|28968|11145|999999|12|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836952||0
7F5|13|0946738|20|28971|11145|999999|1|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836953||0
7F5|14|0946738|20|28971|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836954||0
7F5|15|0946738|20|28971|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836955||0
7F5|16|0946738|20|28971|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836956||0
7F5|17|0946738|20|28971|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836957||0
7F5|18|0946738|20|28971|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836958||0
7F5|19|0946738|20|28971|11145|999999|13|714|193.680000|7.620000|4.61|86.36|22/05/2030 05:30:21|132.72|E1836960||0
7F5|20|5168402|20|27501|85119|999999|13|603|158.750000|17.300000|3.98|86.36|22/05/2030 05:30:21|132.72|E1837597||0
7F5|21|5168402|20|27501|85119|999999|13|603|158.750000|17.300000|3.98|86.36|22/05/2030 05:30:21|132.72|E1837598||0
7B14|1|0945184|36|59628|14840|78395|14|415|168.300000|14.200000|4.15|13.38|22/05/2030 05:30:21|15.58|D0924773||0
7B14|2|0945184|36|59628|14840|78395|8|415|168.300000|14.200000|4.15|13.38|22/05/2030 05:30:21|15.58|D0924778||0
7B14|3|5192401|10|53441|15870|78396|2|745|219.100000|8.180000|5.07|13.38|22/05/2030 05:30:21|15.58|D0924785||0
